Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,NC_/Prd/CRd_UC/UcRdF,first,X,PRd/CRd_UC/UcRdF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,z,0,0,0,0,0,0,FakeCycle,0,0,0,0,0
CRABABORT,2,1,NC_/Prd/CRd_UC/UcRdF,z,CrabAbort,FakeCycle,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,b,0,0,0,0,0,0,X,0,0,0,0,0
CRABABORT,3,1,NC_/Prd/CRd_UC/UcRdF,b,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
SNOOP,4,1,NC_/Prd/CRd_UC/UcRdF,z,MMIO/MMIOPTL,FakeCycle,X,S/E/M,>0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,c,0,0,0,0,0,0,X,0,0,0,0,0
SNOOP,5,1,NC_/Prd/CRd_UC/UcRdF,c,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),snoop_response_data(only_from_cv_vector),0,0,0
READ,6,1,NC_/Prd/CRd_UC/UcRdF,z,!HOM & !CrabAbort,FakeCycle,X,I,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
READ,7,1,NC_/Prd/CRd_UC/UcRdF,z,!HOM & !CrabAbort,FakeCycle,X,S/E/M,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,read_mem,0,0,0,0,0,0,X,0,0,0,0,0
READ,8,1,NC_/PRD,read_mem,CFG,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,d,0,0,0,0,0,0,X,0,0,0,0,0
READ,9,1,NC_/PRD,read_mem,MMIOPTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,e,0,0,0,0,0,0,X,0,0,0,0,0
READ,10,1,NC_/Crd_UC/UcRdF,read_mem,MMIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,f,0,0,0,0,0,0,X,0,0,0,0,0
READ,11,1,NC_/Prd/CRd_UC/UcRdF,d,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,NcCfgRd,0,NO_RSP,0,0,0,0,data
READ,12,1,NC_/Prd/CRd_UC/UcRdF,e,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,NcRdPTL,0,NO_RSP,0,0,0,0,data
READ,13,1,NC_/Prd/CRd_UC/UcRdF,f,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,0,0,0,0,NcRd,0,NO_RSP,0,0,0,0,data
READ,14,1,NC_/Prd/CRd_UC/UcRdF,g,X,NO_RSP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
